,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
76,san cristobal,75.0,EC,2019-03-31,93.0,-0.39,-78.55,57.2,3.36
77,avarua,0.0,CK,2019-03-31,88.0,-21.21,-159.78,82.4,10.29
78,tilichiki,88.0,RU,2019-03-31,91.0,60.47,166.1,34.4,13.13
79,port lincoln,24.0,AU,2019-03-31,94.0,-34.72,135.86,65.18,2.95
80,romny,8.0,UA,2019-03-31,87.0,50.74,33.49,41.15,11.01
81,beatrice,1.0,US,2019-03-31,69.0,40.27,-96.75,42.01,10.29
82,irbeyskoye,64.0,RU,2019-03-31,76.0,55.64,95.45,44.03,11.34
83,erzin,75.0,TR,2019-03-31,100.0,36.95,36.2,54.0,3.36
84,jamestown,0.0,AU,2019-03-31,60.0,-33.21,138.6,67.43,2.51
85,ribeira grande,64.0,PT,2019-03-31,100.0,38.52,-28.7,59.33,25.55
86,port elizabeth,1.0,US,2019-03-31,41.0,39.31,-74.98,42.8,14.99
87,labuhan,36.0,ID,2019-03-31,73.0,-2.54,115.51,85.43,2.73
88,yellowknife,90.0,CA,2019-03-31,86.0,62.45,-114.38,33.8,18.34
89,esperance,20.0,TT,2019-03-31,83.0,10.24,-61.45,77.0,5.82
90,la ronge,40.0,CA,2019-03-31,58.0,55.1,-105.3,28.4,5.82
91,adrar,0.0,DZ,2019-03-31,58.0,27.87,-0.29,59.0,6.93
92,cidreira,0.0,BR,2019-03-31,95.0,-30.17,-50.22,66.17,2.62
93,imeni poliny osipenko,76.0,RU,2019-03-31,74.0,52.42,136.49,28.01,10.0
94,chuy,44.0,UY,2019-03-31,90.0,-33.69,-53.46,64.01,4.97
95,lashio,8.0,MM,2019-03-31,67.0,22.93,97.75,75.98,2.51
96,batemans bay,12.0,AU,2019-03-31,58.0,-35.71,150.18,66.0,3.0
97,busselton,48.0,AU,2019-03-31,29.0,-33.64,115.35,87.01,12.35
98,pangnirtung,76.0,CA,2019-03-31,75.0,66.15,-65.72,7.31,7.2
99,bara,0.0,NG,2019-03-31,44.0,10.41,10.6,68.51,3.62
100,georgetown,20.0,GY,2019-03-31,94.0,6.8,-58.16,71.6,4.7
101,souillac,0.0,FR,2019-03-31,61.0,45.6,-0.6,50.0,2.95
102,lebu,75.0,ET,2019-03-31,55.0,8.96,38.73,60.8,4.7
103,saint anthony,90.0,US,2019-03-31,39.0,43.97,-111.68,46.4,5.82
104,mehamn,40.0,NO,2019-03-31,86.0,71.03,27.85,30.2,39.15
105,tuktoyaktuk,75.0,CA,2019-03-31,85.0,69.44,-133.03,15.8,17.22
106,punta arenas,75.0,CL,2019-03-31,87.0,-53.16,-70.91,50.0,6.93
107,cape town,40.0,ZA,2019-03-31,62.0,-33.93,18.42,59.0,8.05
108,tiksi,8.0,RU,2019-03-31,78.0,71.64,128.87,29.45,8.21
109,dandong,0.0,CN,2019-03-31,42.0,40.12,124.37,47.18,4.18
110,uvira,48.0,CD,2019-03-31,100.0,-3.41,29.14,62.3,0.38
111,saint-philippe,90.0,CA,2019-03-31,90.0,45.36,-73.48,32.0,9.17
112,nador,92.0,MA,2019-03-31,93.0,35.17,-2.93,53.6,7.65
113,rajura,12.0,IN,2019-03-31,65.0,19.78,79.37,78.95,4.52
114,camacupa,20.0,AO,2019-03-31,74.0,-12.02,17.48,57.17,2.73
115,constitucion,5.0,MX,2019-03-31,21.0,23.99,-104.67,69.8,10.29
116,iturama,24.0,BR,2019-03-31,78.0,-19.73,-50.2,70.76,2.51
117,ulagan,0.0,RU,2019-03-31,87.0,50.63,87.96,33.86,2.62
118,clyde river,90.0,CA,2019-03-31,91.0,70.47,-68.59,1.4,4.7
119,college,1.0,US,2019-03-31,52.0,64.86,-147.8,53.6,4.7
120,talnakh,88.0,RU,2019-03-31,97.0,69.49,88.39,29.27,13.8
121,cayenne,80.0,GF,2019-03-31,78.0,4.94,-52.33,78.8,4.7
122,ahipara,92.0,NZ,2019-03-31,100.0,-35.17,173.16,68.24,7.76
123,fort-shevchenko,20.0,KZ,2019-03-31,100.0,44.51,50.26,39.35,18.16
124,longyearbyen,40.0,NO,2019-03-31,71.0,78.22,15.63,5.0,3.36
125,evensk,88.0,RU,2019-03-31,88.0,61.92,159.24,32.24,19.39
126,mayumba,100.0,GA,2019-03-31,97.0,-3.44,10.65,81.29,5.64
127,george town,75.0,MY,2019-03-31,74.0,5.42,100.33,84.2,8.05
128,malinovoye ozero,76.0,RU,2019-03-31,61.0,51.68,79.77,41.06,4.07
129,ust-maya,0.0,RU,2019-03-31,57.0,60.42,134.54,28.46,5.3
130,kamenka,56.0,RU,2019-03-31,73.0,53.19,44.05,41.0,12.57
131,port alfred,20.0,ZA,2019-03-31,94.0,-33.59,26.89,66.35,24.54
132,predivinsk,92.0,RU,2019-03-31,79.0,57.07,93.44,43.31,8.99
133,ponta do sol,32.0,BR,2019-03-31,81.0,-20.63,-46.0,64.1,2.51
134,bolgatanga,56.0,GH,2019-03-31,70.0,10.79,-0.85,78.77,5.53
135,beringovskiy,88.0,RU,2019-03-31,96.0,63.05,179.32,32.6,16.26
136,bubaque,0.0,GW,2019-03-31,91.0,11.28,-15.83,82.55,4.85
137,kodiak,1.0,US,2019-03-31,40.0,39.95,-94.76,37.99,9.17
138,ancud,90.0,CL,2019-03-31,100.0,-41.87,-73.83,51.8,6.93
139,martyush,0.0,RU,2019-03-31,84.0,56.4,61.89,30.8,15.48
140,new norfolk,20.0,AU,2019-03-31,41.0,-42.78,147.06,66.0,10.29
141,thompson,20.0,CA,2019-03-31,57.0,55.74,-97.86,21.2,6.93
142,bredasdorp,8.0,ZA,2019-03-31,76.0,-34.53,20.04,53.6,8.05
143,vilhena,76.0,BR,2019-03-31,90.0,-12.74,-60.15,74.09,2.17
144,batagay,0.0,RU,2019-03-31,61.0,67.65,134.64,22.7,4.29
145,kamaishi,75.0,JP,2019-03-31,71.0,39.28,141.86,39.2,3.36
146,carnarvon,0.0,ZA,2019-03-31,46.0,-30.97,22.13,48.71,10.78
147,soyo,8.0,AO,2019-03-31,96.0,-6.13,12.37,78.05,3.62
148,kars,75.0,TR,2019-03-31,92.0,40.61,43.1,32.0,18.34
149,coahuayana,0.0,MX,2019-03-31,56.0,18.62,-100.35,64.01,2.17
150,hervey bay,75.0,AU,2019-03-31,47.0,-25.3,152.85,84.0,19.46
151,upernavik,80.0,GL,2019-03-31,100.0,72.79,-56.15,10.73,4.85
152,inirida,0.0,CO,2019-03-31,94.0,3.87,-67.92,76.52,2.17
153,bandarbeyla,76.0,SO,2019-03-31,100.0,9.49,50.81,77.78,2.62
154,yar-sale,56.0,RU,2019-03-31,86.0,66.83,70.83,21.08,14.7
155,warangal,0.0,IN,2019-03-31,56.0,17.99,79.6,81.29,4.41
156,san quintin,8.0,PH,2019-03-31,50.0,17.54,120.52,87.05,3.62
157,sendafa,75.0,ET,2019-03-31,55.0,9.16,39.02,60.8,4.7
158,kalmunai,0.0,LK,2019-03-31,78.0,7.42,81.82,83.18,3.85
159,acheng,40.0,CN,2019-03-31,27.0,45.55,126.95,37.4,15.66
160,tondano,40.0,ID,2019-03-31,58.0,1.3,124.91,87.8,5.82
161,tres arroyos,44.0,AR,2019-03-31,60.0,-38.38,-60.28,68.15,7.76
162,liepaja,0.0,LV,2019-03-31,71.0,56.52,21.02,35.6,1.12
163,fort nelson,40.0,CA,2019-03-31,48.0,58.81,-122.69,41.0,3.36
164,turukhansk,48.0,RU,2019-03-31,87.0,65.8,87.96,26.39,4.74
165,pevek,20.0,RU,2019-03-31,76.0,69.7,170.27,11.63,3.29
166,mar del plata,36.0,AR,2019-03-31,48.0,-46.43,-67.52,63.2,13.13
167,tahe,0.0,CN,2019-03-31,46.0,52.34,124.71,30.26,6.64
168,seoul,1.0,KR,2019-03-31,19.0,37.57,126.98,50.0,5.82
